Accession,Release_Date,Species,Length,Geo_Location,USA,Host,Isolation_Source,Collection_Date
MW084561,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,USA,,Homo sapiens,,2020-05-26
MW084567,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29896,USA,,Homo sapiens,,2020-05-26
MW084577,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,USA,,Homo sapiens,,2020-05-26
MW084583,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,USA,,Homo sapiens,,2020-06-01
MW084585,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA,,Homo sapiens,,2020-06-02
MW084596,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29897,USA,,Homo sapiens,,2020-06-01
MW084599,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA,,Homo sapiens,,2020-06-01
MW084600,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA,,Homo sapiens,,2020-06-01
MW084601,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA,,Homo sapiens,,2020-06-01
MW084605,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29898,USA,,Homo sapiens,,2020-06-01
MW086594,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA,,Homo sapiens,oronasopharynx,2020-03-12
MW086595,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA,,Homo sapiens,oronasopharynx,2020-03-16
MW086596,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,USA,,Homo sapiens,oronasopharynx,2020-03-09
MW086597,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,USA,,Homo sapiens,oronasopharynx,2020-03-09
MW086598,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,USA,,Homo sapiens,oronasopharynx,2020-03-11
MW086893,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29843,USA: Minnesota,MN,Homo sapiens,,2020-04-10
MW086894,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29822,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2020-04-10
MW086895,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2020-04-11
MW086896,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2020-04-10
MW086897,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2020-04-11
MW086898,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29819,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2020-04-10
MW086899,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2020-04-10
MW086900,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29822,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086901,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29828,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086902,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086903,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086904,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29843,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086905,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086906,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29822,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086907,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086908,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29821,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086909,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086910,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086911,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29832,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086912,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086913,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29841,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086914,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29816,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086915,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29817,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086916,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29844,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086917,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086918,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29822,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086919,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086920,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29832,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW086921,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29828,USA: Minnesota,MN,Homo sapiens,,2020-09-16
MW077466,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,USA: Washington,WA,Homo sapiens,,2020-09-15
MW077467,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,USA: Washington,WA,Homo sapiens,,2020-09-09
MW077468,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,USA: Washington,WA,Homo sapiens,,2020-09-09
MW077469,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,USA: Washington,WA,Homo sapiens,,2020-09-09
MW077470,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29842,USA: Washington,WA,Homo sapiens,,2020-09-16
MW077471,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,USA: Washington,WA,Homo sapiens,,2020-05-15
MW077472,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,USA: Washington,WA,Homo sapiens,,2020-09-09
MW077473,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA: Washington,WA,Homo sapiens,,2020-09-09
MW077474,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,"USA: Washington,King County",WA,Homo sapiens,,2020-09-06
MW077475,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,"USA: Washington,King County",WA,Homo sapiens,,2020-09-07
MW077476,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,"USA: Washington,King County",WA,Homo sapiens,,2020-09-13
MW077477,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,"USA: Washington,King County",WA,Homo sapiens,,2020-09-09
MW077478,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29843,"USA: Washington,King County",WA,Homo sapiens,,2020-09-08
MW077479,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29833,USA: Washington,WA,Homo sapiens,,2020-09-09
MW077480,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,"USA: Washington,King County",WA,Homo sapiens,,2020-09-16
MW077481,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,"USA: Washington,King County",WA,Homo sapiens,,2020-09-16
MW077482,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,"USA: Washington,King County",WA,Homo sapiens,,2020-09-13
MW077483,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,"USA: Washington,King County",WA,Homo sapiens,,2020-09-09
MW077485,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,"USA: Washington,King County",WA,Homo sapiens,,2020-09-09
MW077486,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,"USA: Washington,King County",WA,Homo sapiens,,2020-09-16
MW077487,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,"USA: Washington,King County",WA,Homo sapiens,,2020-09-14
MW077489,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,"USA: Washington,King County",WA,Homo sapiens,,2020-09-16
MW077491,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,"USA: Washington,King County",WA,Homo sapiens,,2020-08-28
MW077492,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,"USA: Washington,King County",WA,Homo sapiens,,2020-09-18
MW077493,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,"USA: Washington,King County",WA,Homo sapiens,,2020-09-18
MW077494,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,"USA: Washington,King County",WA,Homo sapiens,,2020-09-13
MW077495,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29822,"USA: Washington,King County",WA,Homo sapiens,,2020-08-31
MW077496,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,"USA: Washington,King County",WA,Homo sapiens,,2020-09-18
MW077497,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,"USA: Washington,King County",WA,Homo sapiens,,2020-09-02
MW077498,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,"USA: Washington,King County",WA,Homo sapiens,,2020-09-07
MW077500,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29840,"USA: Washington,King County",WA,Homo sapiens,,2020-09-02
MW077501,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,"USA: Washington,King County",WA,Homo sapiens,,2020-09-05
MW077502,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,"USA: Washington,King County",WA,Homo sapiens,,2020-09-02
MW079418,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Malta,,Homo sapiens,oronasopharynx,2020-08-19
MW079419,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Malta,,Homo sapiens,oronasopharynx,2020-09-04
MW079421,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Malta,,Homo sapiens,oronasopharynx,2020-09-07
MW079422,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Malta,,Homo sapiens,oronasopharynx,2020-08-20
MW079428,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"Malaysia: Pahang, Kuantan",,Homo sapiens,,2020-04-02
MW079429,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"Malaysia: Pahang, Kuantan",,Homo sapiens,,2020-04-09
MW079819,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,"USA: Washington,King County",WA,Homo sapiens,,2020-09-01
MW079820,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,"USA: Washington,King County",WA,Homo sapiens,,2020-09-01
MW079821,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,"USA: Washington,King County",WA,Homo sapiens,,2020-08-31
MW079822,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29833,"USA: Washington,King County",WA,Homo sapiens,,2020-08-31
MW079823,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,"USA: Washington,King County",WA,Homo sapiens,,2020-09-03
MW079824,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,USA: Washington,WA,Homo sapiens,,2020-03-03
MW079825,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29808,Egypt,,Homo sapiens,oronasopharynx,2020-07-19
MW079826,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29808,Egypt,,Homo sapiens,oronasopharynx,2020-07-19
MW079827,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,USA: Ak,AK,Homo sapiens,oronasopharynx,2020-06-08
MW079828,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,USA: Ak,AK,Homo sapiens,oronasopharynx,2020-06-08
MW079829,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29878,USA: Ak,AK,Homo sapiens,oronasopharynx,2020-06-12
MW079830,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,USA: Ak,AK,Homo sapiens,oronasopharynx,2020-06-11
MW079831,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,USA: Ak,AK,Homo sapiens,oronasopharynx,2020-06-12
MW079832,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,USA: Ak,AK,Homo sapiens,oronasopharynx,2020-06-14
MW079833,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,USA: Ak,AK,Homo sapiens,oronasopharynx,2020-06-11
MW079834,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,USA: Ak,AK,Homo sapiens,oronasopharynx,2020-06-11
MW079835,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,USA: Ak,AK,Homo sapiens,oronasopharynx,2020-06-18
MW079836,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,USA: Ak,AK,Homo sapiens,oronasopharynx,2020-06-01
MW079837,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,USA: Ak,AK,Homo sapiens,oronasopharynx,2020-06-02
MW079838,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29875,USA: Ak,AK,Homo sapiens,oronasopharynx,2020-05-31
MW079839,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: Ak,AK,Homo sapiens,oronasopharynx,2020-06-01
MW079840,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29834,USA: Ak,AK,Homo sapiens,oronasopharynx,2020-06-01
MW079841,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,USA: Ak,AK,Homo sapiens,oronasopharynx,2020-06-07
MW079842,2020-10-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29808,Egypt,,Homo sapiens,oronasopharynx,2020-07-19
MT998442,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Oklahoma,OK,Homo sapiens,oronasopharynx,2020-04-10
MT998443,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Oklahoma,OK,Homo sapiens,oronasopharynx,2020-05-27
MT998444,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Oklahoma,OK,Homo sapiens,oronasopharynx,2020-05-27
MW075732,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29902,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075733,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075735,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075737,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29898,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075738,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075739,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075740,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29888,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075741,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075742,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29869,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075744,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075745,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075747,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075748,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075749,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075751,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29897,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075752,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075753,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075754,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075755,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075756,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075757,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29887,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-02
MW075758,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-02
MW075760,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29873,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075761,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29887,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-04
MW075762,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29866,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-04
MW075763,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-04
MW075764,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075765,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29888,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-01
MW075766,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-02
MW075767,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-03
MW075768,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-09-04
MW075777,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-26
MW075778,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-26
MW075779,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-26
MW075781,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29866,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-26
MW075782,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29886,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-26
MW075783,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-26
MW075784,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29878,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-26
MW075785,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29873,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-26
MW075786,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29877,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-26
MW075787,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-26
MW075788,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-26
MW075789,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-26
MW075790,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29886,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-26
MW075791,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-26
MW075793,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-26
MW075794,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29869,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-26
MW075795,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29897,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-25
MW075796,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29880,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-25
MW075797,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29873,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-20
MW075798,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-25
MW075799,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-26
MW075801,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-25
MW075802,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29886,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-25
MW075803,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-25
MW075804,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-26
MW075808,2020-10-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29902,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2020-08-27
MW064314,2020-10-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: AL,AL,Homo sapiens,,2020-03-23
